ohc14,sal,fluo
0.0,0.0,0.007414466284810888
0.0,1.5625,0.006727423667763151
0.0,6.25,0.007006027180858042
0.0,25.0,0.00654408191622275
0.0,100.0,0.007020201590454979
0.0,400.0,0.007103357484618037
0.15625,0.0,0.12178622872201092
0.15625,1.5625,0.09475257936316266
0.15625,6.25,0.11131833762099252
0.15625,25.0,0.10922518188636815
0.15625,100.0,0.08762233702683352
0.15625,400.0,0.06431477599306598
0.625,0.0,0.48268640842486954
0.625,1.5625,0.4308267096574916
0.625,6.25,0.5663313741925328
0.625,25.0,0.638088624707381
0.625,100.0,0.5003552438455413
0.625,400.0,0.5154402782242338
2.5,0.0,0.6823410459342231
2.5,1.5625,0.6367324224154978
2.5,6.25,0.774395505095428
2.5,25.0,0.961381867105087
2.5,100.0,0.9126356802014276
2.5,400.0,0.8662705553731389
10.0,0.0,0.7562856674843895
10.0,1.5625,0.7430071543094706
10.0,6.25,0.9052995260174572
10.0,25.0,1.14479942026808
10.0,100.0,1.0166808429101353
10.0,400.0,0.9636636198370344
40.0,0.0,0.7721971571600826
40.0,1.5625,0.7392668312968044
40.0,6.25,0.9133568352584184
40.0,25.0,1.1561552029606006
40.0,100.0,1.1049589661897412
40.0,400.0,1.1024386323921018
