_id,name,promoter,rbs,cds,terminator,vector,component
G001,P11-34-sGFP_A,P11,RBS34,sGFP,B0015,1A,gate
G002,P11-34-mCherry_A,P11,RBS34,mCherry,B0015,1A,gate
G003,P20-34-sGFP_A,P20,RBS34,sGFP,B0015,1A,gate
G004,P20-34-mCherry_A,P20,RBS34,mCherry,B0015,1A,gate
G005,P38-34-sGFP_A,P38,RBS34,sGFP,B0015,1A,gate
G006,P38-34-mCherry_A,P38,RBS34,mCherry,B0015,1A,gate
G007,pJ1-PBAD-E11-N_B,PBAD,RBS33,E11-PhoRadA_N,B0015,1B,gate
G008,pJ1-PCin-E11-N_B,PCin,RBS33,E11-PhoRadA_N,B0015,1B,gate
G009,pJ1-PSalTTC-E11-N_B,PSalTTC,RBS33,E11-PhoRadA_N,B0015,1B,gate
G010,pJ1-PLuxB-E11-N_B,PLuxB,RBS33,E11-PhoRadA_N,B0015,1B,gate
G011,pJ1-PBAD-E20-N_B,PBAD,RBS33,E20-gp411_N,B0015,1B,gate
G012,pJ1-PCin-E20-N_B,PCin,RBS33,E20-gp411_N,B0015,1B,gate
G013,pJ1-PSalTTC-E20-N_B,PSalTTC,RBS33,E20-gp411_N,B0015,1B,gate
G014,pJ1-PLuxB-E20-N_B,PLuxB,RBS33,E20-gp411_N,B0015,1B,gate
G015,pJ1-PBAD-E38-N_B,PBAD,RBS33,E38-gp418_N,B0015,1B,gate
G016,pJ1-PCin-E38-N_B,PCin,RBS33,E38-gp418_N,B0015,1B,gate
G017,pJ1-PSalTTC-E38-N_B,PSalTTC,RBS33,E38-gp418_N,B0015,1B,gate
G018,pJ1-PLuxB-E38-N_B,PLuxB,RBS33,E38-gp418_N,B0015,1B,gate
G019,pJ1-PCin-E11-C_C*,PCin,RBS33,E11-PhoRadA_C,B0015,1C*,gate
G020,pJ1-PSalTTC-E11-C_C*,PSalTTC,RBS33,E11-PhoRadA_C,B0015,1C*,gate
G021,pJ1-PLuxB-E11-C_C*,PLuxB,RBS33,E11-PhoRadA_C,B0015,1C*,gate
G022,pJ1-PBAD-E11-C_C*,PBAD,RBS33,E11-PhoRadA_C,B0015,1C*,gate
G023,pJ1-PCin-E20-C_C*,PCin,RBS33,E20-gp411_C,B0015,1C*,gate
G024,pJ1-PSalTTC-E20-C_C*,PSalTTC,RBS33,E20-gp411_C,B0015,1C*,gate
G025,pJ1-PLuxB-E20-C_C*,PLuxB,RBS33,E20-gp411_C,B0015,1C*,gate
G026,pJ1-PBAD-E20-C_C*,PBAD,RBS33,E20-gp411_C,B0015,1C*,gate
G027,pJ1-PCin-E38-C_C*,PCin,RBS33,E38-gp418_C,B0015,1C*,gate
G028,pJ1-PSalTTC-E38-C_C*,PSalTTC,RBS33,E38-gp418_C,B0015,1C*,gate
G029,pJ1-PLuxB-E38-C_C*,PLuxB,RBS33,E38-gp418_C,B0015,1C*,gate
G030,pJ1-PBAD-E38-C_C*,PBAD,RBS33,E38-gp418_C,B0015,1C*,gate
